trigrams	frequency	trigrams_traduit	POS tagged	Lemma	Vader Sentiment	Vader Analysis
chegou antes prazo	1108	arrived before deadline	[('arrived', 'v'), ('before', None), ('deadline', 'n')]	  arrive before deadline	0.0	Neutral
bem antes prazo	706	well-term	[('well-term', 'n')]	  well-term	0.0	Neutral
entregue antes prazo	608	delivered before time	[('delivered', 'v'), ('before', None), ('time', 'n')]	  deliver before time	0.0	Neutral
dia numero numero	564	day number number	[('day', 'n'), ('number', 'n'), ('number', 'n')]	  day number number	0.1531	Neutral
numero numero numero	474	number number number	[('number', 'n'), ('number', 'n'), ('number', 'n')]	  number number number	0.2263	Neutral
produto chegou antes	447	product has come before	[('product', 'n'), ('has', 'v'), ('come', 'v'), ('before', None)]	  product have come before	0.0	Neutral
entrega antes prazo	432	Delivery before deadline	[('Delivery', 'n'), ('before', None), ('deadline', 'n')]	  Delivery before deadline	0.0	Neutral
chegou bem antes	415	arrived well before	[('arrived', 'v'), ('well', 'r'), ('before', None)]	  arrive well before	0.2732	Neutral
produto entregue antes	374	product delivered before	[('product', 'n'), ('delivered', 'v'), ('before', None)]	  product deliver before	0.0	Neutral
entrega super pida	297	Super Pida Delivery	[('Super', 'n'), ('Pida', 'n'), ('Delivery', 'n')]	  Super Pida Delivery	0.5994	Positive
antes prazo previsto	287	before expected deadline	[('before', None), ('expected', 'v'), ('deadline', 'n')]	  before expect deadline	0.0	Neutral
produto tima qualidade	257	Product Tima Quality	[('Product', 'n'), ('Tima', 'n'), ('Quality', 'n')]	  Product Tima Quality	0.0	Neutral
ainda recebi produto	253	I still got a product	[('I', None), ('still', 'r'), ('got', 'v'), ('product', 'n')]	  I still get product	0.0	Neutral
produto boa qualidade	232	Product good quality	[('Product', 'n'), ('good', 'a'), ('quality', 'n')]	  Product good quality	0.4404	Neutral
entregue dentro prazo	229	delivered in term	[('delivered', 'v'), ('in', None), ('term', 'n')]	  deliver in term	0.0	Neutral
antes prazo produto	227	Before deadline	[('Before', None), ('deadline', 'n')]	  Before deadline	0.0	Neutral
produto entregue prazo	224	delivery product	[('delivery', 'n'), ('product', 'n')]	  delivery product	0.0	Neutral
antes data prevista	218	before scheduled date	[('before', None), ('scheduled', 'a'), ('date', 'n')]	  before scheduled date	0.0	Neutral
recebi antes prazo	199	I received a deadline	[('I', None), ('received', 'v'), ('deadline', 'n')]	  I receive deadline	0.0	Neutral
perfeitas condi es	197	Perfect Condi ES	[('Perfect', 'n'), ('Condi', 'n'), ('ES', 'n')]	  Perfect Condi ES	0.5719	Positive
